"2007 SCOTTISH LOCAL ELECTION RESULTS";;;;;;;;;;;;;;;;;;;
"District";"Ward";"Candidate";"Party";"First prefs";"Elected";;;;;;;;;;;;;;
"East Ayrshire";"Kilmarnock W. & Crosshouse";"Brian Reeves ";"Lab";866;;;;;;;;;;;;;;;
"East Ayrshire";"Kilmarnock W. & Crosshouse";"Shirley-Anne Weir ";"Ind";220;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Amanda Stewart ";"C";2383;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Ian MacKay ";"SNP";1354;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Ali Syed ";"Lab";1082;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Duncan Cumming ";"LD";981;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Ashay Ghai ";"LD";818;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Stuart Callison ";"Grn";344;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Dennis Brogan ";"Ind";132;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden N.";"Neil Scott ";"SSP";70;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"Simon Hutchison ";"C";1654;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"Manjinder Shergill ";"Lab";1305;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"Graeme Douglas ";"SNP";1294;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"Vaughan Moody ";"LD";1094;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"John Morrison ";"LD";695;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"Garry McKendrick ";"Ind";387;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bearsden S.";"Scott Ferguson ";"Grn";349;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Billy Hendry ";"C";2370;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Una Walker ";"Lab";1899;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Anne McNair ";"SNP";1242;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Margaret McNaughton ";"LD";927;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Jim Gilmour ";"EDIA";379;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Bernard Mills ";"Ind";176;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs N. & Torrance";"Diane McDougall ";"SUP";44;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Alex Hannah ";"Lab";1505;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Gordan Low ";"SNP";1095;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Alan Brown ";"C";767;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Michael O'Donnell ";"Lab";761;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Donald MacDonald ";"EDIA";656;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Tom Dibble ";"LD";586;;;;;;;;;;;;;;;
"East Dunbartonshire";"Bishopbriggs S.";"Derek Doughty ";"SUP";70;;;;;;;;;;;;;;;
"East Dunbartonshire";"Campsie & Kirkintilloch N.";"Charles Kennedy ";"EDIA";2609;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Campsie & Kirkintilloch N.";"John Dempsey ";"Lab";950;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Campsie & Kirkintilloch N.";"David Ritchie ";"SNP";704;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Campsie & Kirkintilloch N.";"Cathy McInnes ";"LD";515;;;;;;;;;;;;;;;
"East Dunbartonshire";"Campsie & Kirkintilloch N.";"Catherine Brown ";"C";333;;;;;;;;;;;;;;;
"East Dunbartonshire";"Campsie & Kirkintilloch N.";"Alex Wingate ";"Lab";255;;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"Stewart MacDonald ";"Lab";1487;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"Jack Young ";"EDIA";1316;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"John Jamieson ";"SNP";1019;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"Alan Moir ";"Lab";693;;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"Rod Ackland ";"LD";282;;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"Alison Lothian ";"C";279;;;;;;;;;;;;;;;
"East Dunbartonshire";"Kirkintilloch E. & Twechar";"Willie Telfer ";"SSP";100;;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Rhondda Geekie ";"Lab";1937;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Anne Jarvis ";"C";1772;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Gillian Renwick ";"SNP";1128;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Gordon MacDonald ";"LD";681;;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Ken Selbie ";"EDIA";435;;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Margaret Morris ";"LD";277;;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"James Barker ";"Ind";201;;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Isabel Park ";"Grn";191;;;;;;;;;;;;;;;
"East Dunbartonshire";"Lenzie & Kirkintilloch S.";"Moira Brown ";"SSP";103;;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Jim Gibbons ";"SNP";1310;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Bill Binks ";"C";1230;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Eric Gotts ";"LD";1226;1;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Peter Ritchie ";"Lab";1161;;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Fiona Risk ";"LD";919;;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Pat Ryan ";"EDIA";308;;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Emma Sheppard ";"Grn";307;;;;;;;;;;;;;;;
"East Dunbartonshire";"Milngavie";"Bill Newman ";"SSP";71;;;;;;;;;;;;;;;
"East Lothian";"Dunbar & East Linton";"Paul McLennan ";"SNP";1726;1;;;;;;;;;;;;;;
"East Lothian";"Dunbar & East Linton";"Jacquie Bell ";"LD";1136;1;;;;;;;;;;;;;;
"East Lothian";"Dunbar & East Linton";"Katie Mackie ";"C";1130;;;;;;;;;;;;;;;
"East Lothian";"Dunbar & East Linton";"Norman Hampshire ";"Lab";1033;1;;;;;;;;;;;;;;
"East Lothian";"Dunbar & East Linton";"Herbert Coutts ";"Lab";725;;;;;;;;;;;;;;;
"East Lothian";"Fa'side";"Kenny McLeod ";"SNP";2065;1;;;;;;;;;;;;;;
"East Lothian";"Fa'side";"Jim Gillies ";"Lab";1348;1;;;;;;;;;;;;;;
"East Lothian";"Fa'side";"Donald Grant ";"Lab";1118;1;;;;;;;;;;;;;;
"East Lothian";"Fa'side";"Ruth Currie ";"LD";892;1;;;;;;;;;;;;;;
"East Lothian";"Fa'side";"Robert McNeill ";"Lab";835;;;;;;;;;;;;;;;
"East Lothian";"Fa'side";"Henry Murray-Smith ";"C";540;;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Ludovic Broun-Lindsay ";"C";1317;1;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Tom Trotter ";"SNP";1107;1;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Sheena Richardson ";"LD";1041;1;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Charles Ingle ";"Ind";1019;;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Ann McCarthy ";"Lab";985;;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Eurig Scandrett ";"Grn";281;;;;;;;;;;;;;;;
"East Lothian";"Haddington & Lammermuir";"Gary Galbraith ";"Sol";68;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"Roger Knox ";"SNP";1256;1;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"Andy Forrest ";"Lab";1057;1;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"John Caldwell ";"Ind";937;1;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"Jenny Mollison ";"LD";809;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"Pat O'Donnell ";"Lab";585;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"Ian Robertson ";"C";281;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh E. & Carberry";"Alan Eeles ";"SSCUP";75;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh W.";"John Williamson ";"SNP";1427;1;;;;;;;;;;;;;;
"East Lothian";"Musselburgh W.";"John McNeil ";"Lab";1144;1;;;;;;;;;;;;;;
"East Lothian";"Musselburgh W.";"Barry Turner ";"LD";857;1;;;;;;;;;;;;;;
"East Lothian";"Musselburgh W.";"John Ross ";"Lab";572;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh W.";"Robert Fairnie ";"C";499;;;;;;;;;;;;;;;
"East Lothian";"Musselburgh W.";"Jack Fraser ";"Sol";153;;;;;;;;;;;;;;;
"East Lothian";"North Berwick Coastal";"Neil Rankin ";"C";1837;1;;;;;;;;;;;;;;
"East Lothian";"North Berwick Coastal";"David Berry ";"SNP";1670;1;;;;;;;;;;;;;;
"East Lothian";"North Berwick Coastal";"Pat Hanson ";"Lab";980;;;;;;;;;;;;;;;
"East Lothian";"North Berwick Coastal";"Stuart MacKinnon ";"LD";747;1;;;;;;;;;;;;;;
"East Lothian";"North Berwick Coastal";"Kathryn Smith ";"C";565;;;;;;;;;;;;;;;
"East Lothian";"North Berwick Coastal";"Susan Moffat ";"Grn";393;;;;;;;;;;;;;;;
"East Lothian";"Preston/Seton/Gosford";"Willie Innes ";"Lab";2205;1;;;;;;;;;;;;;;
"East Lothian";"Preston/Seton/Gosford";"Peter MacKenzie ";"SNP";1906;1;;;;;;;;;;;;;;
"East Lothian";"Preston/Seton/Gosford";"Michael Veitch ";"C";1040;;;;;;;;;;;;;;;
"East Lothian";"Preston/Seton/Gosford";"Margaret Libberton ";"Lab";927;1;;;;;;;;;;;;;;
"East Lothian";"Preston/Seton/Gosford";"Stuart Currie ";"LD";909;1;;;;;;;;;;;;;;
"East Lothian";"Preston/Seton/Gosford";"Andy Spence ";"Ind";244;;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Danny Devlin ";"Ind";1891;1;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Betty Cunningham ";"Lab";1526;1;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Douglas Yates ";"SNP";1318;1;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Edward Phillips ";"Lab";999;1;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Tariq Parvez ";"C";558;;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Tommy Reilly ";"Ind";520;;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Edwina Phillips ";"Lab";247;;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Tom Platt ";"LD";236;;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Rena McGuire ";"Ind";111;;;;;;;;;;;;;;;
"East Renfrewshire";"Barrhead";"Liam McGregor ";"SSP";65;;;;;;;;;;;;;;;
"East Renfrewshire";"Busby, Clarkston & Eaglesham";"Alan Lafferty ";"Lab";1970;1;;;;;;;;;;;;;;
"East Renfrewshire";"Busby, Clarkston & Eaglesham";"Stewart Miller ";"C";1571;1;;;;;;;;;;;;;;
"East Renfrewshire";"Busby, Clarkston & Eaglesham";"Alex White ";"C";1302;;;;;;;;;;;;;;;
"East Renfrewshire";"Busby, Clarkston & Eaglesham";"Alastair Carmichael ";"SNP";1177;1;;;;;;;;;;;;;;
"East Renfrewshire";"Busby, Clarkston & Eaglesham";"George Napier ";"LD";991;;;;;;;;;;;;;;;
"East Renfrewshire";"Giffnock & Thornliebank";"Jim Fletcher ";"Lab";2075;1;;;;;;;;;;;;;;
"East Renfrewshire";"Giffnock & Thornliebank";"Gordon Wallace ";"C";1899;1;;;;;;;;;;;;;;
"East Renfrewshire";"Giffnock & Thornliebank";"Joyce Lythgoe ";"SNP";1266;;;;;;;;;;;;;;;
"East Renfrewshire";"Giffnock & Thornliebank";"Alex Mackie ";"LD";1244;1;;;;;;;;;;;;;;
"East Renfrewshire";"Giffnock & Thornliebank";"Gordon Wilson ";"C";373;;;;;;;;;;;;;;;
"East Renfrewshire";"Giffnock & Thornliebank";"Stuart Miller ";"SSP";112;;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Charlie Gilbert ";"C";1778;1;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Elaine Green ";"Lab";1658;1;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Tony Buchanan ";"SNP";1434;1;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Leslie Rosin ";"C";944;1;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Nasim Khan ";"Lab";638;;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Kirsty Platt ";"LD";636;;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"George Butler ";"Ind";622;;;;;;;;;;;;;;;
"East Renfrewshire";"Neilston, Uplawmoor & Newton Mearns N.";"Ella Rae ";"Ind";123;;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Mary Montague ";"Lab";1644;1;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Ralph Robertson ";"Ind";1322;1;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Gordon McCaskill ";"C";1182;1;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Laurence Haniford ";"C";1028;;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Oliver Adair ";"SNP";954;;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Ian Clarkson ";"LD";609;;;;;;;;;;;;;;;
"East Renfrewshire";"Netherlee, Stamperland & Williamwood";"Duncan Toms ";"Grn";247;;;;;;;;;;;;;;;
"East Renfrewshire";"Newton Mearns S.";"Barbara Grant ";"C";2283;1;;;;;;;;;;;;;;
"East Renfrewshire";"Newton Mearns S.";"Jim Swift ";"C";1649;1;;;;;;;;;;;;;;
"East Renfrewshire";"Newton Mearns S.";"Ian McAlpine ";"Lab";1068;1;;;;;;;;;;;;;;
"East Renfrewshire";"Newton Mearns S.";"Christopher McLaughlin ";"SNP";645;;;;;;;;;;;;;;;
"East Renfrewshire";"Newton Mearns S.";"Alan Rennie ";"LD";601;;;;;;;;;;;;;;;
"Edinburgh";"Almond";"Kate MacKenzie ";"C";3352;1;;;;;;;;;;;;;;
"Edinburgh";"Almond";"George Grubb ";"LD";2809;1;;;;;;;;;;;;;;
"Edinburgh";"Almond";"Norman Work ";"SNP";2164;1;;;;;;;;;;;;;;
"Edinburgh";"Almond";"Neil MacLean ";"LD";1548;;;;;;;;;;;;;;;
"Edinburgh";"Almond";"John Longstaff ";"Lab";1280;;;;;;;;;;;;;;;
"Edinburgh";"Almond";"Jill Boulton ";"Grn";520;;;;;;;;;;;;;;;
"Edinburgh";"Almond";"Ross Clark ";"SSP";144;;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"David Beckett ";"SNP";1630;1;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Joanna Mowat ";"C";1614;1;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Charles Dundas ";"LD";1587;1;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Bill Cunningham ";"Lab";1437;;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Gavin Corbett ";"Grn";1352;;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Catriona Grant ";"SSP";142;;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Brian Ferrier ";"Ind";130;;;;;;;;;;;;;;;
"Edinburgh";"City Centre";"Karen Hetherington ";"Lib";83;;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Elaine Aitken ";"C";2877;1;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Jason Rust ";"C";2815;1;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Eric Barry ";"Lab";2332;1;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Thomas Kielty ";"SNP";1861;;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Stuart Bridges ";"LD";1842;;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Alastair Tibbitt ";"Grn";517;;;;;;;;;;;;;;;
"Edinburgh";"Colinton/Fairmilehead";"Robert Mathie ";"SSP";80;;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Jeremy Balfour ";"C";2972;1;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Paul Edie ";"LD";2444;1;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Phil Wheeler ";"LD";1915;1;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Daniel Donaldson ";"Lab";1757;;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Robin MacCormick ";"SNP";1727;;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Charles Kennedy ";"Grn";556;;;;;;;;;;;;;;;
"Edinburgh";"Corstorphine/Murrayfield";"Andrew Weir ";"SSP";80;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Ewan Aitken ";"Lab";3487;1;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Stefan Tymkewycz ";"SNP";3484;1;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Victoria Roberts ";"C";1720;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Gary Peacock ";"LD";1190;1;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Stan Blackley ";"Grn";701;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Shami Khan ";"Lab";600;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Kevin Connor ";"Sol";187;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Peter McDougall ";"Lib";152;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Jet Cameron ";"Ind";100;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"Nick Eardley ";"SSP";82;;;;;;;;;;;;;;;
"Edinburgh";"Craigentinny/Duddingston";"John Wallace ";"Ind";69;;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Robert Aldridge ";"LD";2630;1;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Jenny Dawe ";"LD";2049;1;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Colin Keir ";"SNP";1917;1;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Steven Binney ";"C";1676;;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Cameron Day ";"Lab";1545;;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Fiona Paterson ";"Grn";330;;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Iain Pendreich ";"SSP";88;;;;;;;;;;;;;;;
"Edinburgh";"Drum Brae/Gyle";"Roy Isserlis ";"Lib";85;;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Steve Cardownie ";"SNP";2472;1;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Allan Jackson ";"C";2206;1;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Elaine Morris ";"LD";1953;1;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Elizabeth Maginnis ";"Lab";1616;1;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Billy Fitzpatrick ";"Lab";1547;;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Kate Joester ";"Grn";627;;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Fred Marinello ";"Ind";201;;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Willie Black ";"Sol";197;;;;;;;;;;;;;;;
"Edinburgh";"Forth";"Marilyn Sangster ";"SSP";84;;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Gordon Buchan ";"C";2729;1;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Andrew Burns ";"Lab";2272;1;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Denis Dixon ";"SNP";1875;;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Jim Lowrie ";"LD";1724;1;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Jeni Mackay ";"Grn";1123;;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Anne Edmonds ";"Sol";142;;;;;;;;;;;;;;;
"Edinburgh";"Fountainbridge/Craiglockhart";"Barbara Scott ";"SSP";105;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Lesley Hinds ";"Lab";2689;1;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Lindsay Paterson ";"C";2085;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Iain Whyte ";"C";1986;1;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Stuart McIvor ";"SNP";1961;1;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Tim McKay ";"LD";1644;1;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Tom Ponton ";"LD";1339;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Kristina Woolnough ";"Ind";1323;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Melanie Main ";"Grn";1113;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Seumas MacMhicean ";"Lib";148;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"John Anderson ";"Ind";129;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Raymond Watt ";"Sol";103;;;;;;;;;;;;;;;
"Edinburgh";"Inverleith";"Sean Donnelly ";"SSP";92;;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Rob Munn ";"SNP";2333;1;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Marjorie Thomas ";"LD";1854;1;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Gordon Munro ";"Lab";1544;1;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Chas Booth ";"Grn";957;;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Matthew Wilson ";"Lab";741;;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Andrew Robertson ";"C";604;;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Joseph Hill ";"Lib";208;;;;;;;;;;;;;;;
"Edinburgh";"Leith";"Grzegorz Rybak ";"SSP";150;;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Deirdre Brock ";"SNP";2550;1;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Louise Lang ";"LD";2170;1;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Angela Blacklock ";"Lab";1937;1;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Maggie Chapman ";"Grn";1754;1;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Trevor Davies ";"Lab";1144;;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Iain McGill ";"C";1114;;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Adrian Cannon ";"Sol";203;;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"John Hein ";"Lib";193;;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Linda Somerville ";"SSP";182;;;;;;;;;;;;;;;
"Edinburgh";"Leith Walk";"Peter Clifford ";"Ind";16;;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Tom Buchanan ";"SNP";3471;1;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Norma Hart ";"Lab";2524;1;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Ian Murray ";"Lab";2104;1;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Gavin Easton ";"C";1912;;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Conor Snowden ";"LD";1902;1;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Joan Carter ";"Grn";464;;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Colin Fox ";"SSP";208;;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Max Volino ";"Ind";207;;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"John Wight ";"Sol";132;;;;;;;;;;;;;;;
"Edinburgh";"Liberton/Gilmerton";"Alex Scott ";"Ind";123;;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Mark McInnes ";"C";3844;1;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Marilyne MacLaren ";"LD";2817;1;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Alison Johnstone ";"Grn";2209;1;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Paul Godzik ";"Lab";2043;1;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Sue Tritton ";"LD";1683;;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Richard Lewis ";"SNP";1529;;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Helga Janzen ";"SSP";137;;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Pat Smith ";"Sol";122;;;;;;;;;;;;;;;
"Edinburgh";"Meadows/Morningside";"Duncan Thorp ";"Ind";105;;;;;;;;;;;;;;;
"Edinburgh";"Pentland Hills";"Alastair Paisley ";"C";2523;1;;;;;;;;;;;;;;
